['g', 'g', 'g', 'g', 'g'] - 
['g', 'g', 'g', 'g', 'o'] - 
['g', 'g', 'g', 'g', '-'] - abaft
['g', 'g', 'g', 'o', 'g'] - 
['g', 'g', 'g', 'o', 'o'] - 
['g', 'g', 'g', 'o', '-'] - 
['g', 'g', 'g', '-', 'g'] - 
['g', 'g', 'g', '-', 'o'] - 
['g', 'g', 'g', '-', '-'] - alist
['g', 'g', 'o', 'g', 'g'] - 
['g', 'g', 'o', 'g', 'o'] - 
['g', 'g', 'o', 'g', '-'] - 
['g', 'g', 'o', 'o', 'g'] - 
['g', 'g', 'o', 'o', 'o'] - 
['g', 'g', 'o', 'o', '-'] - 
['g', 'g', 'o', '-', 'g'] - 
['g', 'g', 'o', '-', 'o'] - aahed
['g', 'g', 'o', '-', '-'] - aahed
['g', 'g', '-', 'g', 'g'] - aalii
['g', 'g', '-', 'g', 'o'] - 
['g', 'g', '-', 'g', '-'] - aalii
['g', 'g', '-', 'o', 'g'] - 
['g', 'g', '-', 'o', 'o'] - 
['g', 'g', '-', 'o', '-'] - 
['g', 'g', '-', '-', 'g'] - bebop
['g', 'g', '-', '-', 'o'] - aahed
['g', 'g', '-', '-', '-'] - shuls
['g', 'o', 'g', 'g', 'g'] - 
['g', 'o', 'g', 'g', 'o'] - 
['g', 'o', 'g', 'g', '-'] - 
['g', 'o', 'g', 'o', 'g'] - 
['g', 'o', 'g', 'o', 'o'] - 
['g', 'o', 'g', 'o', '-'] - 
['g', 'o', 'g', '-', 'g'] - 
['g', 'o', 'g', '-', 'o'] - 
['g', 'o', 'g', '-', '-'] - 
['g', 'o', 'o', 'g', 'g'] - 
['g', 'o', 'o', 'g', 'o'] - 
['g', 'o', 'o', 'g', '-'] - 
['g', 'o', 'o', 'o', 'g'] - 
['g', 'o', 'o', 'o', 'o'] - 
['g', 'o', 'o', 'o', '-'] - 
['g', 'o', 'o', '-', 'g'] - 
['g', 'o', 'o', '-', 'o'] - amped
['g', 'o', 'o', '-', '-'] - aboil
['g', 'o', '-', 'g', 'g'] - 
['g', 'o', '-', 'g', 'o'] - 
['g', 'o', '-', 'g', '-'] - 
['g', 'o', '-', 'o', 'g'] - 
['g', 'o', '-', 'o', 'o'] - 
['g', 'o', '-', 'o', '-'] - 
['g', 'o', '-', '-', 'g'] - aahed
['g', 'o', '-', '-', 'o'] - bewig
['g', 'o', '-', '-', '-'] - butoh
['g', '-', 'g', 'g', 'g'] - 
['g', '-', 'g', 'g', 'o'] - 
['g', '-', 'g', 'g', '-'] - 
['g', '-', 'g', 'o', 'g'] - 
['g', '-', 'g', 'o', 'o'] - 
['g', '-', 'g', 'o', '-'] - 
['g', '-', 'g', '-', 'g'] - 
['g', '-', 'g', '-', 'o'] - 
['g', '-', 'g', '-', '-'] - aargh
['g', '-', 'o', 'g', 'g'] - 
['g', '-', 'o', 'g', 'o'] - 
['g', '-', 'o', 'g', '-'] - 
['g', '-', 'o', 'o', 'g'] - 
['g', '-', 'o', 'o', 'o'] - 
['g', '-', 'o', 'o', '-'] - aalii
['g', '-', 'o', '-', 'g'] - aalii
['g', '-', 'o', '-', 'o'] - aahed
['g', '-', 'o', '-', '-'] - noily
['g', '-', '-', 'g', 'g'] - 
['g', '-', '-', 'g', 'o'] - 
['g', '-', '-', 'g', '-'] - aalii
['g', '-', '-', 'o', 'g'] - 
['g', '-', '-', 'o', 'o'] - 
['g', '-', '-', 'o', '-'] - auxin
['g', '-', '-', '-', 'g'] - shily
['g', '-', '-', '-', 'o'] - honed
['g', '-', '-', '-', '-'] - biogs
['o', 'g', 'g', 'g', 'g'] - 
['o', 'g', 'g', 'g', 'o'] - 
['o', 'g', 'g', 'g', '-'] - 
['o', 'g', 'g', 'o', 'g'] - 
['o', 'g', 'g', 'o', 'o'] - 
